id,minutesPerGame,pointsPerGame,reboundsPerGame,assistsPerGame,blocksPerGame,stealsPerGame,turnoverPerGame,foulsPerGame,fieldGoalsPercentage,threePointsPercentage,freeThrowsPercentage,efficiencyRating,winShares,defensiveWinShares,usageRate,season,partOf
75247,16.6609509,44.94877184,11.60491989,11.0148081,1.992620387,1.374368888,1.770744036,1.37790543,0.706126149,0.443294491,0.75333962,95,51,10,18,1,1
75248,24.03378149,1.606771172,10.52053334,4.916802117,2.437100965,1.535908894,3.062073928,0.739375327,0.697251877,0.485625475,0.925636254,55,94,92,47,1,2
75249,36.86884197,33.2097569,1.099177775,13.05924395,4.929681291,4.549487913,4.146721451,2.799790528,0.863591224,0.403077595,0.76929069,43,68,87,26,1,3
75250,40.97391554,12.63503956,8.672533163,1.207807582,0.677073238,2.364539737,3.70090464,4.420056992,0.82452747,0.418273588,0.89133872,78,21,78,2,1,4
75251,24.52727577,6.681753922,10.62686282,13.05362314,4.559056311,0.242826918,3.923188883,4.468782099,0.417879337,0.325131755,0.709593799,69,51,81,21,1,5
75252,26.32197757,28.17726897,2.56898573,14.22785402,2.163069684,2.75892332,0.822994195,3.883472684,0.68568058,0.583474809,0.709237051,96,42,2,82,1,6
75253,21.96547173,6.935726765,1.5634247,11.6776315,2.558059233,2.131643475,0.613324907,0.48057995,0.788117472,0.522667702,0.803287991,30,32,56,49,1,7
75254,20.40087026,44.97176413,9.734914098,9.711772309,0.90643035,3.770502111,4.166193448,3.606074746,0.506398168,0.597669454,0.721305941,74,46,21,49,1,8
75255,37.02351821,30.36445605,3.505848848,6.450828907,3.180855977,1.066264758,4.85818636,2.308475023,0.543223667,0.58846235,0.857175879,99,36,15,98,1,9
75256,3.977932979,5.723895797,13.97590976,13.19458016,4.076159481,0.249374422,3.669099314,0.419122364,0.801306043,0.514521018,0.842374729,56,73,30,78,1,10
75257,18.82157039,8.363326953,11.75422818,10.43208846,0.074233014,4.245876308,4.519244109,4.075708839,0.786159197,0.426235097,0.954914889,95,51,54,64,1,11
75258,47.00223336,20.5141947,6.697244488,8.070334563,2.48414172,2.11803,2.411253185,1.475265069,0.431175871,0.548993053,0.895676444,42,29,27,89,1,12
75259,40.94841997,1.986082782,8.191303279,10.96778811,3.408805974,0.46887569,1.827870282,2.60279851,0.687024719,0.560881343,0.765524235,6,29,7,34,1,13
75260,2.822430216,49.82231885,5.209093335,3.549470445,4.292279374,0.061781018,0.210291911,4.174599837,0.557631812,0.411504521,0.737145269,28,53,3,81,1,14
75261,9.000564757,43.50349019,10.64367116,2.866774171,4.713161073,3.871181372,1.279414161,2.295338579,0.849675822,0.440986648,0.765665283,89,27,53,23,1,15
75262,4.920405501,33.3796962,0.450309808,4.803906993,4.776010231,0.952256123,2.682981247,0.510204467,0.851893122,0.524369088,0.965551597,67,74,26,49,1,16
75263,39.13088866,27.31556412,8.551712352,12.09634518,1.090832429,0.249159023,4.437671019,0.662861049,0.556829824,0.367460288,0.884880829,78,10,73,52,1,17
75264,40.05251625,10.28201645,9.407968451,1.144893265,0.824812726,0.068071236,2.951528207,2.600000331,0.835958766,0.393246229,0.720821616,31,16,15,44,1,18
75265,1.725083987,22.44296888,3.585856407,12.35826453,0.758864063,1.043587721,0.341358446,0.544085342,0.614616597,0.446114213,0.757397939,40,61,54,64,1,19
75266,21.90722441,41.46120862,1.564428293,6.575220152,3.386000066,2.814977843,0.35105917,3.176837489,0.744952892,0.422599384,0.72703836,77,1,17,86,1,20
75267,21.32476188,27.98053427,8.250610073,10.39830037,1.561247042,2.232149346,4.486376117,1.937194923,0.89765829,0.327257268,0.845234088,69,3,98,16,1,21
75268,23.14149149,10.33537742,5.795465773,1.299548753,2.688580459,4.225702695,2.029331627,0.669775349,0.404235585,0.444793258,0.830710041,45,71,31,2,1,22
75269,31.22636837,4.009273568,13.84922834,12.30058776,3.566729619,0.448516284,2.525230327,4.234531463,0.718947509,0.491280392,0.738243268,84,27,89,34,1,23
75270,20.93531422,49.24123153,6.0167463,1.917688592,4.514884933,1.853213341,3.605299882,2.712804694,0.565744278,0.523665311,0.743830898,73,85,30,28,1,24
75271,23.04299228,6.553673447,3.483702956,14.64851239,2.490081233,2.368921773,0.679720939,1.768371449,0.634543336,0.513657241,0.720103172,56,23,33,26,1,25
75272,39.83778562,42.10083649,1.116161243,7.163205968,2.027000391,2.114631805,0.471073764,1.853331009,0.896664559,0.39964884,0.788170944,33,84,85,2,1,26
75273,19.00988467,42.6652785,4.61207309,5.031150155,4.740726219,4.043052023,1.893326475,3.780405945,0.718462409,0.381964247,0.776813074,34,10,32,62,1,27
75274,26.37388383,20.92000504,1.053523841,6.317652945,4.480426109,3.037798184,1.681167695,2.514759992,0.52011403,0.492825466,0.810389021,36,11,60,43,1,28
75275,0.285090022,6.50350676,2.67673501,1.79507655,0.696940231,4.671461541,2.07956134,4.845905055,0.480945224,0.551060598,0.70698246,13,47,66,88,1,29
75276,4.467864605,40.67203769,7.456868383,11.18828401,3.12839259,4.877102895,0.364430778,3.443618627,0.491681697,0.563244584,0.76789472,74,60,80,30,1,30
75277,21.43600228,22.9828887,10.79248606,4.710338043,2.881506465,1.918122016,4.640273923,0.996254569,0.633597156,0.578727685,0.918129119,44,47,35,19,1,31
75278,14.40842931,1.314007875,2.022113563,4.358416746,3.207265655,3.194373277,3.556167198,1.041685967,0.414236518,0.34835323,0.933914108,97,66,52,28,1,32
75279,6.05997835,49.01329329,6.063042278,4.554661992,0.512719172,3.224693175,4.827471903,1.915565027,0.84171382,0.575462019,0.928764563,9,17,19,32,1,33
75280,30.97875351,4.450524311,0.560473586,13.47310904,3.267644298,2.164332062,2.173428345,1.710261264,0.407240252,0.301584849,0.934264416,74,70,99,62,1,34
75281,45.00962772,3.245763626,12.81401141,0.398614622,4.105925791,3.397363806,1.27500155,2.58807662,0.634043476,0.427469075,0.931054968,50,23,97,52,1,35
75282,37.68963212,19.82715233,3.331601808,7.081856331,3.355979314,4.570734446,1.829160817,4.477445033,0.838970981,0.318922852,0.701016748,41,36,48,45,1,36
75283,5.901124633,19.73701439,4.442982331,1.767797599,3.925599208,3.01127446,4.789050039,0.437282963,0.592442052,0.359209451,0.846336493,56,53,17,83,1,37
75284,20.89570208,33.73575995,14.1255058,4.742393679,3.610132809,0.804579751,1.124549983,2.422813291,0.6932967,0.599276147,0.784606626,9,85,93,58,1,38
75285,39.94289067,48.61610132,7.474058049,4.734367193,3.873232048,4.732861718,2.640711439,1.424900398,0.428795402,0.571463742,0.77871343,49,30,36,27,1,39
75286,33.76665958,34.61738967,6.854959722,11.8889527,1.316039283,4.671658694,1.867582721,0.235281302,0.897147546,0.436816354,0.857522974,22,8,74,85,1,40
75287,44.95660916,0.75815914,4.435606168,3.613363709,0.906737081,3.831844178,1.741044587,4.0773558,0.485122307,0.402823128,0.89220569,57,50,3,63,1,41
75288,3.692251293,0.226236921,11.62112121,9.665670166,3.568143533,3.244285195,4.004093284,2.258527495,0.843092139,0.341089775,0.763469477,14,55,17,49,1,42
75289,38.20403305,6.191451008,13.08503565,7.302198168,3.686291605,3.755511823,2.598944548,1.68701067,0.582873138,0.337136594,0.819821044,29,36,100,89,1,43
75290,30.03233013,40.0202828,14.13032398,13.42276867,2.232840185,1.943853286,0.233651198,1.038969336,0.659696225,0.421755407,0.856406525,88,41,46,94,1,44
75291,47.16175491,37.46739437,13.75451355,11.92804478,3.928347992,3.51183363,3.909640948,2.658653838,0.853908131,0.374471429,0.884142635,15,3,44,3,1,45
75292,13.11029526,19.47657138,7.665176477,7.395625433,1.183019105,1.371166564,4.203357556,1.857933058,0.503093681,0.337299532,0.809961162,15,24,39,25,1,46
75293,43.15329923,29.13904652,4.751457407,2.407442295,2.804939423,4.179734926,3.418297174,2.453514604,0.700586337,0.343631591,0.79997305,8,63,93,72,1,47
75294,0.260293679,40.99256168,1.013752865,7.075251779,2.801033025,4.549615933,0.093292866,3.303986812,0.688860203,0.542536505,0.841478468,79,32,46,91,1,48
75295,13.26237345,21.40353177,3.738145428,11.35810683,0.32634644,3.735458079,0.950302084,3.144398688,0.739060599,0.446772939,0.976540755,77,32,21,99,1,49
75296,10.39901431,33.75804718,5.749078037,0.478222224,4.19844871,3.719673075,4.750172729,0.057211908,0.507938976,0.335458445,0.701502746,40,57,85,87,1,50
75297,43.32778878,34.12750277,0.96998577,11.30498063,1.612963544,3.947557287,3.028076504,2.611823871,0.575707,0.344860067,0.787337195,24,79,86,99,1,51
75298,22.9576905,33.86143949,9.371051455,5.89616802,4.189172941,2.267460019,3.127076915,2.933270827,0.851021394,0.572783326,0.719827218,76,70,83,96,1,52
75299,38.91337905,31.49144085,14.30617662,13.62149789,1.91105944,2.695994628,2.815629982,3.303857552,0.468989874,0.430321849,0.928680498,36,100,98,54,1,53
75300,24.87351742,20.74644119,14.68722212,1.073874177,0.807254522,3.127415511,3.603364142,2.396882479,0.837239977,0.499805147,0.95019157,36,95,9,8,1,54
75301,16.28284879,31.34595599,7.344687648,11.5594923,2.55884355,0.726537459,4.242014717,3.837443254,0.641277252,0.53693599,0.833734966,59,58,16,90,1,55
75302,34.72021724,21.80249984,11.69537964,1.909990258,0.71556472,1.090530633,4.881723985,3.805931306,0.636903751,0.579677275,0.812108724,29,17,11,83,1,56
75303,13.76838587,37.48828102,0.868342959,7.851627515,2.012489822,2.296689331,4.475246222,3.765454839,0.812622026,0.586714992,0.806290038,82,87,51,60,1,57
75304,22.63393478,2.017871859,3.282862296,11.22293111,4.405212102,2.324407133,0.996509704,3.939735958,0.413896701,0.591539061,0.963660642,85,22,80,100,1,58
75305,34.36999027,25.43113251,12.67686814,13.73220366,1.450209619,4.783543019,3.698408756,3.827175536,0.826553421,0.568097531,0.78054446,86,2,2,48,1,59
75306,5.676539881,1.63063376,13.60619609,2.905310044,2.097538599,4.433452793,0.117821848,4.058557775,0.412557303,0.419238606,0.960091448,26,40,95,51,1,60
75307,16.42277376,4.081840314,11.10181625,0.695941734,0.09186616,3.399567293,2.18863889,4.547173407,0.815126277,0.531621332,0.86638721,42,56,85,78,1,61
75308,11.28235732,38.84125182,1.294295995,12.88278552,4.244345212,2.965005998,4.690902136,2.502056529,0.598488702,0.565168527,0.719280731,88,21,2,82,1,62
75309,45.51977291,8.674595782,13.11566692,11.52697171,1.738967034,2.749711416,1.810464877,0.383310543,0.846307691,0.548394448,0.992927481,41,73,3,93,1,63
75310,7.478249038,17.2770379,5.35797274,0.290478497,1.150367239,4.426455117,1.256709574,3.828456083,0.684066695,0.459599382,0.893661742,1,40,50,40,1,64
75311,42.04180755,37.86246684,4.764038755,1.595610352,1.560659122,3.138002605,2.783690589,1.92890881,0.407699417,0.529620233,0.722219514,49,38,35,69,1,65
75312,44.80706848,48.98056285,7.051369804,10.45152007,2.781222425,3.539284148,3.927392169,0.635166141,0.50250113,0.543814295,0.858683056,87,54,63,20,1,66
75313,0.891283237,48.98013117,3.631854225,11.75124131,1.764254506,4.262555262,2.606109191,0.683900306,0.577143975,0.587872482,0.857475826,49,75,1,54,1,67
75314,46.60527833,16.88381064,7.713291389,14.07639238,1.359118944,4.234467369,3.888972901,1.200042722,0.866543253,0.427484378,0.765789017,61,5,57,89,1,68
75315,24.03197281,46.91208314,4.480280978,13.04405811,0.998383236,1.314046773,4.046266616,1.208290526,0.804155427,0.444871457,0.986303931,86,67,76,53,1,69
75316,12.61009207,14.50526408,6.917262372,1.701446318,1.572877347,4.23126925,2.962063348,4.360236034,0.534908494,0.36802708,0.701661436,55,9,16,78,1,70
75317,3.813973136,7.573361166,0.610931434,10.19642589,4.028246152,4.452947431,1.42036444,2.829645396,0.581555713,0.461035293,0.985851823,57,79,13,15,1,71
75318,21.27577706,45.35350946,13.73170902,6.324986446,0.679942732,4.122165134,1.595381955,3.819837334,0.748687049,0.566689616,0.918131008,86,47,12,33,1,72
75319,39.64198463,22.21675679,3.702609902,14.55774766,4.543231888,1.136663595,3.912347041,0.996456991,0.467144851,0.448482158,0.75927895,59,73,8,12,1,73
75320,46.8760718,35.09693905,9.214465365,5.215276935,0.066306577,1.732593204,1.379148127,0.321867427,0.767746699,0.405394446,0.775513557,18,75,73,87,1,74
75321,14.40699979,1.082688077,6.530728455,13.28635241,1.722120305,2.258215352,3.423190552,0.65182229,0.851281104,0.380784731,0.79955459,21,65,99,53,1,75
75322,38.35764008,15.26136999,3.882012001,5.529129709,4.039061771,2.286361264,1.233458042,2.982176363,0.732266696,0.557158718,0.813740413,54,47,5,65,1,76
75323,18.11206645,18.29738449,13.00359477,13.04077972,4.90346296,1.602638519,0.220865167,1.355505699,0.532695807,0.510062132,0.941038872,33,93,87,61,1,77
